Property.Address.Longitude,Property.Address.Latitude,Price,SizeInternal,Price/SizeInternal_frozen,Building.BathroomTotal,Building.Bedrooms,Building.StoriesTotal,Building.Type,Property.Price,Property.Type,Property.Address.AddressText,Property.Parking[0].Name,Property.ParkingSpaceTotal,Property.TypeId,Property.ZoningType,Property.AmmenitiesNearBy,Property.ParkingType,PostalCode,Building.SizeExterior,Property.Parking[1].Name,Property.OwnershipType,Property.Parking[2].Name,Building.UnitTotal
-73.66455659,45.43541035,505900,1293,391,2,3,10,Apartment,"$505,900 +  GST +  QST",Single Family,"303 Boul. St-Joseph|#402|Montréal (Lachine), Quebec H8S2K9",,,300,Residential,"Highway, CEGEP, Golf Course, Hospital, Park, Schools, Public Transit",,H8S2K9,,,Condominium/Strata,,
-73.693784,45.520032,699000,1786.8074,391,2,5,2,Duplex,"$699,000",Single Family,"1756-1760 Rue Millar|Montréal (Saint-Laurent), Quebec H4L3H4",Other,2,300,Residential,"Highway, CEGEP, Park, Schools",Other,H4L3H4,,,,,2
-73.67607456,45.50439043,499000,1278.75,390,2,3,4,Apartment,"$499,000",Single Family,"375 Boul. Marcel-Laurin|#405|Montréal (Saint-Laurent), Quebec H4M2Z4",Garage,1,300,Residential,"Highway, Park, Public Transit, University",Garage,H4M2Z4,,,Condominium/Strata,,
-73.63357846,45.43332708,469900,1205,389,2,3,3,Apartment,"$469,900",Single Family,"2205 Rue Émile-Nelligan|Montréal (LaSalle), Quebec H8N2Y2",Integrated Garage,2,300,Residential,"Highway, Park, Schools, Public Transit","Integrated Garage, Garage, Other",H8N2Y2,1205 sqft,Garage,Condominium/Strata,Other,
-73.63933,45.551378,459000,1182,388,2,3,6,Apartment,"$459,000",Single Family,"8901 Rue Marcel-Cadieux|#107|Montréal (Ahuntsic-Cartierville), Quebec H2M2L9",Garage,1,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit","Garage, Integrated Garage",H2M2L9,,Integrated Garage,Condominium/Strata,,
-73.656862,45.477709,526000,1356.2513999999999,387,3,4,2,House,"$526,000",Single Family,"5657Z Ch. Merrimac|Côte-Saint-Luc, Quebec H4W1S5",Garage,1,300,Residential,"Golf Course, Hospital, Schools, Public Transit","Garage, Integrated Garage",H4W1S5,,Integrated Garage,,,
-73.55021767,45.52829575,649900,1676.11,387,2,3,3,Apartment,"$649,900",Single Family,"1607 Rue Fullum|Montréal (Ville-Marie), Quebec H2K3M5",,,300,Residential,"Highway, Park, Schools, Public Transit",,H2K3M5,3467 sqft,,Undivided Co-ownership,,
-73.49407297,45.44929302,549000,1420.8347999999999,386,2,3,12,Apartment,"$549,000",Single Family,"8255 Boul. St-Laurent|#804|Brossard, Quebec J4X2A7",Garage,2,300,Residential,"Highway, Hospital, Park, Public Transit","Garage, Integrated Garage",J4X2A7,,Integrated Garage,Condominium/Strata,,
-73.753583,45.52583,608800,1612,377,2,3,14,Apartment,"$608,800",Single Family,"4500 Ch. des Cageux|#1003|Laval (Chomedey), Quebec H7W2S7",Garage,2,300,Residential,,Garage,H7W2S7,,,Condominium/Strata,,
-73.66397585,45.43521577,517900,1372,377,2,3,10,Apartment,"$517,900 +  GST +  QST",Single Family,"303 Boul. St-Joseph|#806|Montréal (Lachine), Quebec H8S2K9",,,300,Residential,"Highway, CEGEP, Hospital, Park, Schools, Public Transit",,H8S2K9,,,Condominium/Strata,,
-73.612446,45.470837,465000,1237.8485,375,2,3,2,Apartment,"$465,000",Single Family,"2256 Av. Marcil|Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quebec H4A2Z1",,,300,Residential,"Hospital, Park, Schools",,H4A2Z1,118.71 m2,,Undivided Co-ownership,,
-73.4962859,45.45521181,428000,1140.9733999999999,375,2,3,14,Apartment,"$428,000",Single Family,"8050 Boul. St-Laurent|#401|Brossard, Quebec J4X2P1",Integrated Garage,1,300,Residential,"Highway, Park, Schools, Public Transit","Integrated Garage, Garage",J4X2P1,,Garage,Condominium/Strata,,
-73.51833312,45.3951216,500000,1334.7236,374,2,3,9,Apartment,"$500,000",Single Family,"97 Boul. Montcalm N.|#C700|Candiac, Quebec J5R0R8",Garage,1,300,Residential,"Highway, Park, Schools, Public Transit",Garage,J5R0R8,,,Condominium/Strata,,
